Tiempo (s),Voltaje (V),Temperatura (C),Temperatura (K)
0.4383199214935303,0.000851548,21.150862624913486,294.30086262491346
1.8774793148040771,0.000852773,21.181301634367173,294.33130163436715
3.3157782554626465,0.00086721,21.539974007246542,294.6899740072465
4.754764080047607,0.000856699,21.278850136687993,294.42885013668797
6.193211555480957,0.000838345,20.822741354973232,293.9727413549732
7.63130521774292,0.000603132,14.962434688607345,288.1124346886073
9.070592403411865,0.000197742,4.811332834241966,277.96133283424194
10.508486032485962,-0.001283542,-33.558668006271375,239.5913319937286
11.947697639465332,-0.001398459,-36.65453689671983,236.49546310328014
13.385996103286743,-0.001332175,-34.8661903834861,238.28380961651388
14.824012756347656,-0.000459298,-11.886273855747447,261.26372614425253
16.263091325759888,0.00016425,3.9710434886499115,277.1210434886499
17.701653242111206,4.5701e-05,0.9964839510990942,274.14648395109907
19.140180587768555,-5.504e-05,-1.5389079169415254,271.61109208305845
20.57874584197998,-0.000151497,-3.9871490441639708,269.162850955836
22.017263889312744,-0.000200192,-5.228902208687828,267.92109779131215
23.456206798553467,-0.000256562,-6.6705263158804655,266.4794736841195
24.894012451171875,-0.000418728,-10.83902000328743,262.31097999671255
26.332611799240112,-0.000548783,-14.202010570852451,258.9479894291475
27.771203756332397,-0.00065212,-16.886123353152755,256.2638766468472
29.209121704101562,-0.003775295,-107.52211657680112,165.62788342319885
30.648118495941162,-0.000834482,-21.650065560623602,251.49993443937637
32.086548805236816,-0.000898871,-23.34110771298765,249.80889228701233
33.52519607543945,-0.001007235,-26.198658778898476,246.9513412211015
34.96317267417908,-0.001089506,-28.378525162514876,244.7714748374851
36.40222477912903,-0.001179913,-30.78503859646841,242.36496140353157
37.839906454086304,-0.001264508,-33.04796496751703,240.10203503248295
39.27862310409546,-0.001346235,-35.24491945886436,237.90508054113562
40.71798038482666,-0.001427229,-37.433057092621425,235.71694290737855
42.15580439567566,-0.001509616,-39.670384033070206,233.47961596692977
43.59506320953369,-0.00158883,-41.832912172520196,231.31708782747978
45.0335853099823,-0.001669039,-44.034307383119085,229.1156926168809
46.47194743156433,-0.001747112,-46.18869708247789,226.9613029175221
47.91020727157593,-0.001824536,-48.33677973465544,224.81322026534454
49.34820532798767,-0.001901866,-50.494055707708696,222.65594429229128
50.787768840789795,-0.001976777,-52.59534661784852,220.55465338215146
52.22538185119629,-0.002049031,-54.6330610906748,218.51693890932518
53.66484999656677,-0.002121555,-56.689441774765385,216.4605582252346
55.10273051261902,-0.002191357,-58.67932911370403,214.47067088629595
56.54181170463562,-0.002263326,-60.742223674182384,212.4077763258176
57.979647636413574,-0.002331662,-62.7117921845811,210.43820781541888
59.41862726211548,-0.0023996,-64.68059309699697,208.469406903003
60.85711407661438,-0.002468407,-66.68574622056167,206.4642537794383
62.29520273208618,-0.002535309,-68.64646675173452,204.50353324826546
63.73400521278381,-0.002602075,-70.61441948235307,202.5355805176469
65.17223143577576,-0.002668348,-72.57926748756361,200.57073251243636
66.6106436252594,-0.002732298,-74.48638226072529,198.66361773927468
68.0491714477539,-0.002796258,-76.40509802155924,196.74490197844074
69.48815894126892,-0.002859139,-78.30283383053256,194.8471661694674
70.92700147628784,-0.002920837,-80.17621659851756,192.97378340148242
72.36482501029968,-0.002982755,-82.06797258181021,191.08202741818977
73.80328726768494,-0.003044286,-83.9599158040565,189.19008419594348
75.24226474761963,-0.003104435,-85.8213470488482,187.32865295115178
76.68046021461487,-0.003165013,-87.70845129002319,185.4415487099768
78.11924934387207,-0.003224439,-89.57218379075744,183.57781620924254
79.55738568305969,-0.003285677,-91.50617515411503,181.64382484588495
80.99546980857849,-0.003357521,-93.79316036757385,179.35683963242613
82.43466329574585,-0.003425302,-95.96937576822259,177.1806242317774
83.87293291091919,-0.003488099,-98.00230134788288,175.1476986521171
85.3117733001709,-0.003550237,-100.03033162827259,173.11966837172739
86.75010538101196,-0.003609339,-101.97499384886049,171.17500615113948
88.18829298019409,-0.003668295,-103.9306576763517,169.21934232364828
89.62769198417664,-0.003725773,-105.85300964311062,167.29699035688935
91.06545639038086,-0.003782383,-107.76200692759349,165.3879930724065
92.50448036193848,-0.003838125,-109.65743450529922,163.49256549470076
93.94321393966675,-0.003893551,-111.55806780505554,161.59193219494443
95.38179135322571,-0.003947251,-113.41517233478979,159.7348276652102
96.82007956504822,-0.004000458,-115.27091095499438,157.8790890450056
98.25826692581177,-0.004052294,-117.09431778054514,156.05568221945484
99.69680190086365,-0.004102706,-118.88275032565457,154.2672496743454
101.13506364822388,-0.004153256,-120.69151276473451,152.45848723526547
102.57345128059387,-0.004202924,-122.48423998161766,150.66576001838231
104.01188039779663,-0.00425096,-124.23315936503181,148.91684063496817
105.44981694221497,-0.00429999,-126.03406685024996,147.11593314975002
106.88816165924072,-0.004348946,-127.848699192239,145.30130080776098
108.3269464969635,-0.004395893,-129.60481176107234,143.54518823892764
109.76543712615967,-0.004442253,-131.35480479687442,141.79519520312556
111.20310473442078,-0.004488037,-133.0990271586004,140.05097284139958
112.64209794998169,-0.00453245,-134.80670931781117,138.3432906821888
114.08046770095825,-0.004577197,-136.54341259758155,136.60658740241843
115.51901459693909,-0.004620103,-138.22446035394123,134.92553964605875
116.95765805244446,-0.004662725,-139.91025208888647,133.2397479111135
118.39602971076965,-0.004705023,-141.59944756462335,131.55055243537663
119.83474111557007,-0.004746588,-143.27570724742284,129.87429275257713
121.2733244895935,-0.004788132,-144.9679322071825,128.18206779281746
122.71115446090698,-0.004829215,-146.65856727243488,126.4914327275651
124.14971399307251,-0.004870832,-148.3893224400901,124.76067755990988
125.58812022209167,-0.004913444,-150.1811922121145,122.96880778788548
127.0263454914093,-0.004958967,-152.11854638467034,121.03145361532964
128.46500420570374,-0.005010028,-154.3213958012353,118.82860419876468
129.9035234451294,-0.005079244,-157.36099714942608,115.7890028505739
131.3421721458435,-0.00529159,-167.12509780109906,106.02490219890092
132.78047823905945,-0.005616488,-183.7388722813423,89.41112771865767
134.21893668174744,-0.005732294,-190.31907165943437,82.8309283405656
135.657732963562,-0.005768875,-192.4873539805161,80.66264601948387
137.0959951877594,-0.005787438,-193.6055414215798,79.54445857842018
138.5345423221588,-0.005798306,-194.26597710665737,78.8840228933426
139.97340035438538,-0.005805048,-194.67786277034077,78.47213722965921
141.41132712364197,-0.005809582,-194.9558061697927,78.19419383020727
142.85087490081787,-0.005813393,-195.19002355664088,77.9599764433591
144.28846192359924,-0.005816136,-195.35894192355045,77.79105807644953
145.72729635238647,-0.005818094,-195.4796927085606,77.67030729143937
147.1658959388733,-0.005819989,-195.59669671584038,77.5533032841596
