Tiempo (s),Voltaje (V),Temperatura (C),Temperatura (K)
0.41262197494506836,0.0009211,22.877816868966306,296.0278168689663
1.8238105773925781,0.0009305,23.111012874905043,296.261012874905
3.237504720687866,0.0009305,23.111012874905043,296.261012874905
4.663057804107666,0.0009274,23.03411320526925,296.1841132052692
6.076047897338867,0.000401,9.90702893893507,283.05702893893505
7.485798358917236,-0.0006736,-17.445409993358822,255.70459000664115
8.90614628791809,-0.0010078,-26.213597695426472,246.9364023045735
10.320158004760742,-0.0029461,-80.94662948135274,192.20337051864723
11.733518600463867,-0.0053115,-168.07902807252913,105.07097192747085
13.150694847106934,-0.005629,-184.4303912489429,88.71960875105708
14.575006008148193,-0.0058274,-196.05559324748447,77.09440675251551
15.990471124649048,-0.0058264,-195.99354949072392,77.15645050927606
17.404438257217407,-0.0058316,-196.31659761840365,76.83340238159633
18.818684101104736,-0.0058316,-196.31659761840365,76.83340238159633
20.237340450286865,-0.0058347,-196.50968129886417,76.64031870113581
21.64864993095398,-0.0058358,-196.57828457138362,76.57171542861636
23.06722640991211,-0.0058306,-196.2543919673443,76.89560803265567
24.47722816467285,-0.0058358,-196.57828457138362,76.57171542861636
25.897666931152344,-0.0058327,-196.3850685295081,76.76493147049189
27.316495180130005,-0.0058347,-196.50968129886417,76.64031870113581
28.728294849395752,-0.0058358,-196.57828457138362,76.57171542861636
30.14701557159424,-0.0058337,-196.44735550637074,76.70264449362924
31.55836009979248,-0.0058327,-196.3850685295081,76.76493147049189
32.97552251815796,-0.0058295,-196.1860103755207,76.96398962447927
34.395623207092285,-0.0058316,-196.31659761840365,76.83340238159633
35.81299543380737,-0.0058306,-196.2543919673443,76.89560803265567
37.225220680236816,-0.0058327,-196.3850685295081,76.76493147049189
38.63839411735535,-0.0058295,-196.1860103755207,76.96398962447927
40.0568413734436,-0.0058327,-196.3850685295081,76.76493147049189
41.47154426574707,-0.0058306,-196.2543919673443,76.89560803265567
42.88572454452515,-0.0058316,-196.31659761840365,76.83340238159633
44.30681777000427,-0.0058337,-196.44735550637074,76.70264449362924
45.72613286972046,-0.0058347,-196.50968129886417,76.64031870113581
47.14233899116516,-0.0058347,-196.50968129886417,76.64031870113581
48.55892610549927,-0.0058347,-196.50968129886417,76.64031870113581
49.9717071056366,-0.0058358,-196.57828457138362,76.57171542861636
51.38182759284973,-0.0058306,-196.2543919673443,76.89560803265567
52.80625772476196,-0.0058337,-196.44735550637074,76.70264449362924
54.2221360206604,-0.0058327,-196.3850685295081,76.76493147049189
55.6340229511261,-0.0058327,-196.3850685295081,76.76493147049189
57.04573082923889,-0.0058337,-196.44735550637074,76.70264449362924
58.46247887611389,-0.0058316,-196.31659761840365,76.83340238159633
59.88051199913025,-0.0058316,-196.31659761840365,76.83340238159633
61.298216581344604,-0.0058327,-196.3850685295081,76.76493147049189
62.71552634239197,-0.0058347,-196.50968129886417,76.64031870113581
64.13320732116699,-0.0058316,-196.31659761840365,76.83340238159633
65.54898977279663,-0.0058389,-196.77187479507938,76.3781252049206
66.96164608001709,-0.0058379,-196.70938534713468,76.44061465286529
68.38342833518982,-0.0058441,-197.09745178609182,76.05254821390815
69.7989068031311,-0.0058421,-196.9721041742922,76.17789582570776
71.20896863937378,-0.0058431,-197.03475829999275,76.11524170000723
72.62811756134033,-0.005841,-196.90323002766866,76.24676997233132
74.04669713973999,-0.005841,-196.90323002766866,76.24676997233132
75.45693016052246,-0.0058368,-196.64069206422914,76.50930793577083
76.87241673469543,-0.0058337,-196.44735550637074,76.70264449362924
78.2909722328186,-0.0058358,-196.57828457138362,76.57171542861636
79.70701098442078,-0.0058347,-196.50968129886417,76.64031870113581
81.11902928352356,-0.0058368,-196.64069206422914,76.50930793577083
82.54135870933533,-0.0058347,-196.50968129886417,76.64031870113581
83.95605969429016,-0.0058368,-196.64069206422914,76.50930793577083
85.37034630775452,-0.0058389,-196.77187479507938,76.3781252049206
86.78738522529602,-0.0058358,-196.57828457138362,76.57171542861636
88.20371603965759,-0.0058368,-196.64069206422914,76.50930793577083
89.622074842453,-0.0058358,-196.57828457138362,76.57171542861636
91.03956389427185,-0.0058368,-196.64069206422914,76.50930793577083
92.45011115074158,-0.0058358,-196.57828457138362,76.57171542861636
93.86189079284668,-0.0058337,-196.44735550637074,76.70264449362924
95.28030848503113,-0.0058347,-196.50968129886417,76.64031870113581
96.70057463645935,-0.0058347,-196.50968129886417,76.64031870113581
98.11719226837158,-0.0058368,-196.64069206422914,76.50930793577083
99.52753734588623,-0.0058358,-196.57828457138362,76.57171542861636
100.94872426986694,-0.0058347,-196.50968129886417,76.64031870113581
102.36157131195068,-0.0058368,-196.64069206422914,76.50930793577083
103.77862405776978,-0.0058327,-196.3850685295081,76.76493147049189
105.19678163528442,-0.0058358,-196.57828457138362,76.57171542861636
106.6097321510315,-0.0058358,-196.57828457138362,76.57171542861636
108.031898021698,-0.0058368,-196.64069206422914,76.50930793577083
109.44554424285889,-0.0058347,-196.50968129886417,76.64031870113581
110.85702109336853,-0.0058347,-196.50968129886417,76.64031870113581
112.27972888946533,-0.0058347,-196.50968129886417,76.64031870113581
113.68712306022644,-0.0058337,-196.44735550637074,76.70264449362924
115.10631036758423,-0.0058347,-196.50968129886417,76.64031870113581
116.51910352706909,-0.0058347,-196.50968129886417,76.64031870113581
117.93812274932861,-0.0058358,-196.57828457138362,76.57171542861636
119.35578560829163,-0.0058337,-196.44735550637074,76.70264449362924
120.7741584777832,-0.0058358,-196.57828457138362,76.57171542861636
122.18604564666748,-0.0058337,-196.44735550637074,76.70264449362924
123.6064064502716,-0.0058379,-196.70938534713468,76.44061465286529
125.0230598449707,-0.0058347,-196.50968129886417,76.64031870113581
126.43843197822571,-0.0058379,-196.70938534713468,76.44061465286529
127.84886598587036,-0.0058379,-196.70938534713468,76.44061465286529
129.27177476882935,-0.0058358,-196.57828457138362,76.57171542861636
130.68038058280945,-0.0058347,-196.50968129886417,76.64031870113581
132.09794759750366,-0.0058379,-196.70938534713468,76.44061465286529
133.5162968635559,-0.0058347,-196.50968129886417,76.64031870113581
134.9271433353424,-0.0058347,-196.50968129886417,76.64031870113581
136.35201120376587,-0.0058347,-196.50968129886417,76.64031870113581
137.76729559898376,-0.0058379,-196.70938534713468,76.44061465286529
139.17824864387512,-0.0058327,-196.3850685295081,76.76493147049189
140.59430861473083,-0.0058358,-196.57828457138362,76.57171542861636
142.0158247947693,-0.0058337,-196.44735550637074,76.70264449362924
143.42767763137817,-0.0058327,-196.3850685295081,76.76493147049189
144.84811973571777,-0.0058347,-196.50968129886417,76.64031870113581
146.25738549232483,-0.0058358,-196.57828457138362,76.57171542861636
147.68084001541138,-0.0058327,-196.3850685295081,76.76493147049189
149.09165740013123,-0.0058347,-196.50968129886417,76.64031870113581
150.50790238380432,-0.0058337,-196.44735550637074,76.70264449362924
151.9275906085968,-0.0058358,-196.57828457138362,76.57171542861636
153.33603954315186,-0.0058347,-196.50968129886417,76.64031870113581
154.7546889781952,-0.0058347,-196.50968129886417,76.64031870113581
156.16769218444824,-0.0058358,-196.57828457138362,76.57171542861636
157.58642053604126,-0.0058347,-196.50968129886417,76.64031870113581
159.00696349143982,-0.0058358,-196.57828457138362,76.57171542861636
160.4185540676117,-0.0058347,-196.50968129886417,76.64031870113581
161.83810782432556,-0.0058368,-196.64069206422914,76.50930793577083
163.2487337589264,-0.0058368,-196.64069206422914,76.50930793577083
164.66902565956116,-0.0058347,-196.50968129886417,76.64031870113581
166.08571195602417,-0.0058358,-196.57828457138362,76.57171542861636
167.49782705307007,-0.0058368,-196.64069206422914,76.50930793577083
168.915860414505,-0.0058347,-196.50968129886417,76.64031870113581
170.33685684204102,-0.0058368,-196.64069206422914,76.50930793577083
171.74609231948853,-0.0058368,-196.64069206422914,76.50930793577083
173.16573762893677,-0.0058347,-196.50968129886417,76.64031870113581
174.57907009124756,-0.0058379,-196.70938534713468,76.44061465286529
176.00025534629822,-0.0058347,-196.50968129886417,76.64031870113581
177.41542172431946,-0.0058358,-196.57828457138362,76.57171542861636
178.8230209350586,-0.0058379,-196.70938534713468,76.44061465286529
180.2485315799713,-0.0058358,-196.57828457138362,76.57171542861636
181.66036748886108,-0.0058368,-196.64069206422914,76.50930793577083
183.07219433784485,-0.0058368,-196.64069206422914,76.50930793577083
184.49076652526855,-0.0058358,-196.57828457138362,76.57171542861636
185.91120100021362,-0.0058358,-196.57828457138362,76.57171542861636
187.32741355895996,-0.0058347,-196.50968129886417,76.64031870113581
188.7360236644745,-0.0058347,-196.50968129886417,76.64031870113581
190.15474271774292,-0.0058337,-196.44735550637074,76.70264449362924
191.57578706741333,-0.0058347,-196.50968129886417,76.64031870113581
192.99114537239075,-0.0058337,-196.44735550637074,76.70264449362924
194.40187668800354,-0.0058347,-196.50968129886417,76.64031870113581
195.81471037864685,-0.0058347,-196.50968129886417,76.64031870113581
197.23593854904175,-0.0058347,-196.50968129886417,76.64031870113581
198.6491973400116,-0.0058368,-196.64069206422914,76.50930793577083
200.07042813301086,-0.0058368,-196.64069206422914,76.50930793577083
201.47831845283508,-0.0058337,-196.44735550637074,76.70264449362924
202.89852452278137,-0.0058347,-196.50968129886417,76.64031870113581
204.31156373023987,-0.0058347,-196.50968129886417,76.64031870113581
205.73346495628357,-0.0058358,-196.57828457138362,76.57171542861636
207.14659309387207,-0.0058347,-196.50968129886417,76.64031870113581
208.5673496723175,-0.0058347,-196.50968129886417,76.64031870113581
209.97898888587952,-0.0058358,-196.57828457138362,76.57171542861636
211.398451089859,-0.0058327,-196.3850685295081,76.76493147049189
212.8155243396759,-0.0058347,-196.50968129886417,76.64031870113581
214.2302224636078,-0.0058337,-196.44735550637074,76.70264449362924
215.6430037021637,-0.0058358,-196.57828457138362,76.57171542861636
217.05717492103577,-0.0058337,-196.44735550637074,76.70264449362924
218.47995948791504,-0.0058347,-196.50968129886417,76.64031870113581
219.89003586769104,-0.0058347,-196.50968129886417,76.64031870113581
221.3027548789978,-0.0058347,-196.50968129886417,76.64031870113581
222.72552299499512,-0.0058337,-196.44735550637074,76.70264449362924
224.13796854019165,-0.0058368,-196.64069206422914,76.50930793577083
225.5584397315979,-0.0058368,-196.64069206422914,76.50930793577083
226.9695167541504,-0.0058337,-196.44735550637074,76.70264449362924
228.3863353729248,-0.0058327,-196.3850685295081,76.76493147049189
229.80790257453918,-0.0058379,-196.70938534713468,76.44061465286529
231.21712279319763,-0.0058347,-196.50968129886417,76.64031870113581
232.63752603530884,-0.0058358,-196.57828457138362,76.57171542861636
234.0564479827881,-0.0058347,-196.50968129886417,76.64031870113581
235.46795177459717,-0.0058358,-196.57828457138362,76.57171542861636
236.8844952583313,-0.0058358,-196.57828457138362,76.57171542861636
238.29573321342468,-0.0058358,-196.57828457138362,76.57171542861636
239.71549344062805,-0.0058337,-196.44735550637074,76.70264449362924
241.12747168540955,-0.0058358,-196.57828457138362,76.57171542861636
242.55142974853516,-0.0058347,-196.50968129886417,76.64031870113581
243.95926451683044,-0.0058358,-196.57828457138362,76.57171542861636
245.3768606185913,-0.0058337,-196.44735550637074,76.70264449362924
246.79809594154358,-0.0058368,-196.64069206422914,76.50930793577083
248.21258521080017,-0.0058358,-196.57828457138362,76.57171542861636
249.62731742858887,-0.0058347,-196.50968129886417,76.64031870113581
251.03879594802856,-0.0058327,-196.3850685295081,76.76493147049189
252.45978307724,-0.0058368,-196.64069206422914,76.50930793577083
253.87541460990906,-0.0058358,-196.57828457138362,76.57171542861636
255.29319739341736,-0.0058347,-196.50968129886417,76.64031870113581
256.70882868766785,-0.0058358,-196.57828457138362,76.57171542861636
258.1273992061615,-0.0058358,-196.57828457138362,76.57171542861636
259.5369782447815,-0.0058379,-196.70938534713468,76.44061465286529
260.9554147720337,-0.0058358,-196.57828457138362,76.57171542861636
262.3764045238495,-0.0058347,-196.50968129886417,76.64031870113581
263.7916054725647,-0.0058358,-196.57828457138362,76.57171542861636
265.2081117630005,-0.0058347,-196.50968129886417,76.64031870113581
266.6179440021515,-0.0058347,-196.50968129886417,76.64031870113581
268.0370635986328,-0.0058358,-196.57828457138362,76.57171542861636
269.4510350227356,-0.0058358,-196.57828457138362,76.57171542861636
270.87270069122314,-0.0058327,-196.3850685295081,76.76493147049189
272.2893512248993,-0.0058347,-196.50968129886417,76.64031870113581
273.6974148750305,-0.0058358,-196.57828457138362,76.57171542861636
275.1183841228485,-0.0058347,-196.50968129886417,76.64031870113581
276.5362882614136,-0.0058358,-196.57828457138362,76.57171542861636
277.9540636539459,-0.0058327,-196.3850685295081,76.76493147049189
279.3661091327667,-0.0058337,-196.44735550637074,76.70264449362924
280.77728509902954,-0.0058327,-196.3850685295081,76.76493147049189
282.1968948841095,-0.0058358,-196.57828457138362,76.57171542861636
283.61541652679443,-0.0058347,-196.50968129886417,76.64031870113581
285.0283422470093,-0.0058347,-196.50968129886417,76.64031870113581
286.44662261009216,-0.0058337,-196.44735550637074,76.70264449362924
287.85915994644165,-0.0058347,-196.50968129886417,76.64031870113581
289.27326679229736,-0.0058358,-196.57828457138362,76.57171542861636
290.6956367492676,-0.0058347,-196.50968129886417,76.64031870113581
292.10662817955017,-0.0058358,-196.57828457138362,76.57171542861636
293.52782583236694,-0.0058358,-196.57828457138362,76.57171542861636
294.94163966178894,-0.0058347,-196.50968129886417,76.64031870113581
296.3563303947449,-0.0058379,-196.70938534713468,76.44061465286529
297.772319316864,-0.0058327,-196.3850685295081,76.76493147049189
299.18843603134155,-0.0058347,-196.50968129886417,76.64031870113581
300.6088993549347,-0.0058316,-196.31659761840365,76.83340238159633
302.02044677734375,-0.0058347,-196.50968129886417,76.64031870113581
303.4417905807495,-0.0058337,-196.44735550637074,76.70264449362924
304.85717153549194,-0.0058347,-196.50968129886417,76.64031870113581
306.26980090141296,-0.0058368,-196.64069206422914,76.50930793577083
307.6802763938904,-0.0058358,-196.57828457138362,76.57171542861636
309.09638381004333,-0.0058358,-196.57828457138362,76.57171542861636
310.51254320144653,-0.0058358,-196.57828457138362,76.57171542861636
311.9286470413208,-0.0058347,-196.50968129886417,76.64031870113581
313.3494293689728,-0.0058347,-196.50968129886417,76.64031870113581
314.7682509422302,-0.0058337,-196.44735550637074,76.70264449362924
316.1803493499756,-0.0058368,-196.64069206422914,76.50930793577083
317.5956916809082,-0.0058347,-196.50968129886417,76.64031870113581
319.01752829551697,-0.0058347,-196.50968129886417,76.64031870113581
320.43478775024414,-0.0058347,-196.50968129886417,76.64031870113581
321.84567856788635,-0.0058368,-196.64069206422914,76.50930793577083
323.2661929130554,-0.0058337,-196.44735550637074,76.70264449362924
324.6776213645935,-0.0058389,-196.77187479507938,76.3781252049206
326.0986306667328,-0.0058347,-196.50968129886417,76.64031870113581
327.5087912082672,-0.0058358,-196.57828457138362,76.57171542861636
328.93052864074707,-0.0058337,-196.44735550637074,76.70264449362924
330.34075593948364,-0.0058368,-196.64069206422914,76.50930793577083
331.7641143798828,-0.0058337,-196.44735550637074,76.70264449362924
333.17943501472473,-0.0058368,-196.64069206422914,76.50930793577083
334.5957188606262,-0.0058347,-196.50968129886417,76.64031870113581
336.01063346862793,-0.0058358,-196.57828457138362,76.57171542861636
337.4195303916931,-0.0058368,-196.64069206422914,76.50930793577083
338.8385236263275,-0.0058358,-196.57828457138362,76.57171542861636
340.25572443008423,-0.0058358,-196.57828457138362,76.57171542861636
341.66784286499023,-0.0058347,-196.50968129886417,76.64031870113581
343.08252120018005,-0.0058358,-196.57828457138362,76.57171542861636
344.50386095046997,-0.0058316,-196.31659761840365,76.83340238159633
345.9234371185303,-0.0058358,-196.57828457138362,76.57171542861636
347.33134269714355,-0.0058358,-196.57828457138362,76.57171542861636
348.74819898605347,-0.0058358,-196.57828457138362,76.57171542861636
350.1667366027832,-0.0058358,-196.57828457138362,76.57171542861636
351.5857937335968,-0.0058347,-196.50968129886417,76.64031870113581
352.99506878852844,-0.0058347,-196.50968129886417,76.64031870113581
354.4136252403259,-0.0058358,-196.57828457138362,76.57171542861636
355.83542799949646,-0.0058337,-196.44735550637074,76.70264449362924
357.25148344039917,-0.0058347,-196.50968129886417,76.64031870113581
358.6611635684967,-0.0058358,-196.57828457138362,76.57171542861636
360.0740659236908,-0.0058358,-196.57828457138362,76.57171542861636
361.49558568000793,-0.0058358,-196.57828457138362,76.57171542861636
362.91163754463196,-0.0058368,-196.64069206422914,76.50930793577083
364.3301682472229,-0.0058347,-196.50968129886417,76.64031870113581
365.7463307380676,-0.0058358,-196.57828457138362,76.57171542861636
367.15568232536316,-0.0058337,-196.44735550637074,76.70264449362924
368.57926964759827,-0.0058358,-196.57828457138362,76.57171542861636
369.98868227005005,-0.0058358,-196.57828457138362,76.57171542861636
371.41137433052063,-0.0058379,-196.70938534713468,76.44061465286529
372.8186340332031,-0.0058347,-196.50968129886417,76.64031870113581
374.2358648777008,-0.0058368,-196.64069206422914,76.50930793577083
375.6589057445526,-0.0058368,-196.64069206422914,76.50930793577083
377.07348251342773,-0.0058347,-196.50968129886417,76.64031870113581
378.48700976371765,-0.0058368,-196.64069206422914,76.50930793577083
379.90594363212585,-0.0058358,-196.57828457138362,76.57171542861636
381.3187506198883,-0.0058358,-196.57828457138362,76.57171542861636
382.738121509552,-0.0058347,-196.50968129886417,76.64031870113581
384.14925932884216,-0.0058358,-196.57828457138362,76.57171542861636
385.56246995925903,-0.0058358,-196.57828457138362,76.57171542861636
386.98594069480896,-0.0058347,-196.50968129886417,76.64031870113581
388.3955228328705,-0.0058358,-196.57828457138362,76.57171542861636
389.8173391819,-0.0058368,-196.64069206422914,76.50930793577083
391.2259769439697,-0.0058337,-196.44735550637074,76.70264449362924
392.64857625961304,-0.0058337,-196.44735550637074,76.70264449362924
394.06170105934143,-0.0058358,-196.57828457138362,76.57171542861636
395.48063254356384,-0.0058358,-196.57828457138362,76.57171542861636
396.89891386032104,-0.0058358,-196.57828457138362,76.57171542861636
398.3064410686493,-0.0058337,-196.44735550637074,76.70264449362924
399.72786831855774,-0.0058337,-196.44735550637074,76.70264449362924
401.1478283405304,-0.0058327,-196.3850685295081,76.76493147049189
402.5566155910492,-0.0058337,-196.44735550637074,76.70264449362924
403.9801995754242,-0.0058337,-196.44735550637074,76.70264449362924
405.3955717086792,-0.0058368,-196.64069206422914,76.50930793577083
406.80646991729736,-0.0058337,-196.44735550637074,76.70264449362924
408.22699999809265,-0.0058347,-196.50968129886417,76.64031870113581
409.6406571865082,-0.0058358,-196.57828457138362,76.57171542861636
411.05719542503357,-0.0058358,-196.57828457138362,76.57171542861636
412.4750916957855,-0.0058358,-196.57828457138362,76.57171542861636
413.8861753940582,-0.0058327,-196.3850685295081,76.76493147049189
415.3015305995941,-0.0058347,-196.50968129886417,76.64031870113581
416.71552658081055,-0.0058347,-196.50968129886417,76.64031870113581
418.13690280914307,-0.0058347,-196.50968129886417,76.64031870113581
419.5541024208069,-0.0058358,-196.57828457138362,76.57171542861636
420.970009803772,-0.0058347,-196.50968129886417,76.64031870113581
422.3866755962372,-0.0058347,-196.50968129886417,76.64031870113581
423.80216932296753,-0.0058358,-196.57828457138362,76.57171542861636
425.21086263656616,-0.0058368,-196.64069206422914,76.50930793577083
426.63589239120483,-0.0058368,-196.64069206422914,76.50930793577083
428.0481069087982,-0.0058337,-196.44735550637074,76.70264449362924
429.4680526256561,-0.0058368,-196.64069206422914,76.50930793577083
430.8790419101715,-0.0058347,-196.50968129886417,76.64031870113581
432.2925343513489,-0.0058337,-196.44735550637074,76.70264449362924
433.7158782482147,-0.0058337,-196.44735550637074,76.70264449362924
435.12848377227783,-0.0058379,-196.70938534713468,76.44061465286529
436.5407452583313,-0.0058368,-196.64069206422914,76.50930793577083
437.9594180583954,-0.0058358,-196.57828457138362,76.57171542861636
439.3800218105316,-0.0058368,-196.64069206422914,76.50930793577083
440.79574060440063,-0.0058358,-196.57828457138362,76.57171542861636
442.21206045150757,-0.0058368,-196.64069206422914,76.50930793577083
443.62614846229553,-0.0058347,-196.50968129886417,76.64031870113581
445.03782200813293,-0.0058368,-196.64069206422914,76.50930793577083
446.45893454551697,-0.0058358,-196.57828457138362,76.57171542861636
447.87311720848083,-0.0058358,-196.57828457138362,76.57171542861636
449.2914938926697,-0.0058337,-196.44735550637074,76.70264449362924
450.70715522766113,-0.0058358,-196.57828457138362,76.57171542861636
452.1170325279236,-0.0058316,-196.31659761840365,76.83340238159633
453.5375807285309,-0.0058368,-196.64069206422914,76.50930793577083
454.9483542442322,-0.0058337,-196.44735550637074,76.70264449362924
456.3701012134552,-0.0058368,-196.64069206422914,76.50930793577083
457.7825288772583,-0.0058347,-196.50968129886417,76.64031870113581
459.1972017288208,-0.0058368,-196.64069206422914,76.50930793577083
460.61991262435913,-0.0058358,-196.57828457138362,76.57171542861636
462.03637433052063,-0.0058347,-196.50968129886417,76.64031870113581
463.450142621994,-0.0058368,-196.64069206422914,76.50930793577083
464.86614084243774,-0.0058358,-196.57828457138362,76.57171542861636
466.2805619239807,-0.0058358,-196.57828457138362,76.57171542861636
467.7001690864563,-0.0058347,-196.50968129886417,76.64031870113581
469.1122131347656,-0.0058368,-196.64069206422914,76.50930793577083
470.5238125324249,-0.0058368,-196.64069206422914,76.50930793577083
471.9454174041748,-0.0058379,-196.70938534713468,76.44061465286529
473.35625076293945,-0.0058358,-196.57828457138362,76.57171542861636
474.78022718429565,-0.0058358,-196.57828457138362,76.57171542861636
476.19597339630127,-0.0058337,-196.44735550637074,76.70264449362924
477.6067626476288,-0.0058347,-196.50968129886417,76.64031870113581
479.02828431129456,-0.0058358,-196.57828457138362,76.57171542861636
480.44390654563904,-0.0058358,-196.57828457138362,76.57171542861636
481.8540575504303,-0.0058368,-196.64069206422914,76.50930793577083
483.2763195037842,-0.0058358,-196.57828457138362,76.57171542861636
484.6855227947235,-0.0058358,-196.57828457138362,76.57171542861636
486.1035876274109,-0.0058347,-196.50968129886417,76.64031870113581
